"","[운영체제, 원리, 개념, 이해, 운영체제, 제공, 서비스, 이해, 운영체제, 설계, 구현, 이슈]"
"20046","[구체, 일정, 전달, 예정, 주말, 토요일, 일요일, 집중, 한강, 윈드서핑, 바람, 강약, 균형, 보드, 세일, 조정, 세일, 세일, 바람, 물살, 질주, 사람, 바람, 보드, 세일, 하나, 물살, 윈드서핑, 물위, 보그, 조정, 균형감각, 세일, 조정, 능력, 윈드서핑, 기본기, 서핑, 집중, 날짜, 주말, 진행, 구체, 일정, 전달, 예정, 주말, 토요일, 일요일, 집중, 한강, 윈드서핑, 집중, 한강, 뚝섬유원지역, 윈드서핑, 클럽, 진행, 집중, 날짜, 주말, 진행]"
"20047","[생명, 응급상황, 생명, 유지, 효과, 대처, 구조, 기술, 활용, 능력, 배양, 주요, 선진국, 구급법, 우리, 나라, 대표, 응급처치, 교육, 기관, 프로그램, 비교, 분석, 응급상황, 효과, 방법론, 단계, 과정, 응급상황, 발생, 현장, 생명, 보전, 육체, 손상, 방지, 경감, 의학, 지식, 기술, 숙련도, 향상, 응급처치, 방법론, 기반, 본인, 가족, 사람, 안전, 사원, 활동, 능력, 배양]"
"20048","[축구, 구기, 종목, 역사, 전통, 세계, 확보, 축구, 충족, 조건, 경기, 규칙, 기초, 기술, 리프팅, 패스, 트래핑, 스로인, 드리블, 응용, 기술, 게임, 망라, 실습, 중요, 축구, 실천, 교양인, 생활, 체육, 스포츠, 육성, 공동체, 기여]"
"20049","[축구, 구기, 종목, 역사, 전통, 세계, 확보, 축구, 충족, 조건, 경기, 규칙, 기초, 기술, 리프팅, 패스, 트래핑, 스로인, 드리블, 응용, 기술, 게임, 망라, 실습, 중요, 축구, 실천, 교양인, 생활, 체육, 스포츠, 육성, 공동체, 기여]"
"20050","[생활, 체육, 자리, 테니스, 정확, 경기, 방법, 예절, 실전, 필요, 전술, 교수, 여가, 선용, 활용, 건강, 밑거름, 의의, 실기, 위주, 레벨, 테스트, 수준, 그룹, 레슨, 연습, 테니스, 기초, 실력, 배양, 기대, 첫째, 테니스, 기본예절, 숙지, 둘째, 개개인, 수준, 기술, 셋째, 단식, 복식, 게임]"
"20051","[테니스, 기초, 기술, 포워드, 서비스, 발리, 로빙, 스매싱, 테니스, 기초, 기술, 단식, 복식, 경기, 규칙, 이해, 경기, 테니스, 경기, 필요, 체력, 요소, 개인, 훈련]"
"20052","[배드민턴, 단위, 면적, 운동량, 종목, 신체, 정신, 건강, 유지, 도움, 스포츠, 골목길, 약수터, 운동장, 유희, 생각, 그것, 배드민턴, 경기, 기술, 기회, 실내, 배드민턴, 경기, 사람, 생각, 배드민턴, 다양, 기술, 게임, 진행, 규칙, 매너, 사회, 정서, 함양, 이번, 배드민턴, 종목, 신체, 움직임, 정신, 스트레스, 해소, 건강, 대학, 생활, 게임, 정확, 규칙, 서로, 매너, 협동, 정신, 인간, 관계, 형성, 기여]"
"20053","[배드민턴, 단위, 면적, 운동량, 종목, 신체, 정신, 건강, 유지, 도움, 스포츠, 골목길, 약수터, 운동장, 유희, 생각, 그것, 배드민턴, 경기, 기술, 기회, 실내, 배드민턴, 경기, 사람, 생각, 배드민턴, 다양, 기술, 게임, 진행, 규칙, 매너, 사회, 정서, 함양, 이번, 배드민턴, 종목, 신체, 움직임, 정신, 스트레스, 해소, 건강, 대학, 생활, 게임, 정확, 규칙, 서로, 매너, 협동, 정신, 인간, 관계, 형성, 기여]"
"20054","[디자인, 우리, 생활, 관계, 디자인, 생각, 생활, 생각, 생활, 디자인, 정도, 디자인, 생활, 밀접, 관계, 디자인, 사례, 토대, 일상, 주변, 사물, 분야, 디자인, 구체, 사례, 문제점, 인식, 디자인, 요소, 분석, 필요, 생활, 디자인, 조형, 능력, 디자인, 감각, 향상, 누구, 일상, 디자이너, 디자인, 창조, 첫째, 디자인, 관심, 사람, 디자인, 이해, 사람, 디자인, 인간, 영향, 사람, 디자인, 개념, 정립, 생활, 전반, 디자인, 감각, 향상, 인간, 기술, 사회, 가치, 문화, 방식, 표현, 디자인, 디자인, 문화, 관계, 사고, 이해]"
"20055","[음악, 예술, 인간, 투영, 창조, 활동, 결과물, 인간, 이야기, 밀접, 서양, 고전, 음악, 인간, 주요, 주제, 음악, 내부, 논리, 음악, 이야기, 사회, 문화, 역사, 이해, 고전, 음악, 다양, 작품, 선정, 역사, 문화, 맥락, 음악, 인간, 연관, 음악, 이해, 해석, 능력, 우리, 음악, 즐거움, 의미, 서양고전음악, 감상, 이해, 음악, 삶, 이야기, 여덟, 가지, 주제, 연관, 음원, 파일, 동영상, 자료, 악보, 사진, 그림, 이미지, 자료, 시청각, 자료, 활용, 음악, 가능, 접근, 진행, 영상, 진행, 중간고사, 사회, 거리, 두기, 단계, 단계, 대면시험, 단계, 실시, 시스템, 영상, 업로드, 해당, 주차, 내용, 요약, 정리, 주차, 준비, 예습, 과제, 제공, 수강, 기간, 동안, 과제, 시스템, 과제, 답안, 영상, 기간, 수강, 여부, 수강, 영상, 과제, 답안, 자발, 주체, 활동, 영상, 자료, 시스템, 콘텐츠, 확인, 수강, 교수자, 신속, 원활, 의사소통, 토론, 게시판, 메시, 지창, 이메일, 적극, 활용, 운영, 구체, 스케줄, 과제, 계획서, 파일, 참조]"
"20056","[미래, 리더, 기업가정신, 조직, 리더, 성장, 필요, 리더십, 역량, 이해, 리더십, 스킬, 개발, 기업가정신, 리더십, 이해, 자아, 변화, 조직, 변화, 이해, 창조, 파괴, 조직혁신문화, 구상, 변화, 촉진, 성과, 성취, 구상]"
"20057","[창업, 가지, 성공, 조건, 중요, 생각, 창업, 연관, 창업, 법률, 성공, 가능, 일반, 계약, 사항, 시작, 창업, 주요, 법률, 내용, 공부, 창업, 중요, 지적재산권, 내용, 강좌, 창업, 실제, 도움, 법률, 이론, 내용, 배제, 창업, 실제, 사항, 위주, 결과, 강좌, 수강, 학생, 최소한, 창업, 자신, 사이, 위반, 피해, 강좌, 창업, 법률, 다양, 때문, 정리, 교재, 진행, 자료, 활용, 계획, 진행, 실제, 사례, 소개, 수강, 창업, 문제, 이, 문제, 해결, 파악, 순서, 외부, 강사, 사정, 때문, 개강, 변경, 가능, 진행, 예정]"
"20058","[창업, 학생, 일반, 학생, 아이디어, 창출, 실제, 생활, 필요, 문제, 해결, 능력, 함양, 목적, 아이디어, 창출, 방법, 자신, 아이디어, 창출, 실습, 구성, 실생활, 문제, 해결, 능력, 필요, 아이디어, 개발, 연습, 향후, 아이디어, 창출, 필요, 제반, 기법, 공부, 아이디어, 발굴, 브레인, 스토, 발굴, 기법, 창업아이디어, 이해, 아이디어, 사업, 가능, 모색, 창업아이디어, 계획서, 작성]"
"20059","[과정, 한국어, 모국어, 학생, 한국어, 교수, 설계, 과정, 학생, 듣기, 쓰기, 읽기, 가지, 역량, 포괄, 소개, 제공, 문법, 상당, 부분, 어휘, 한국, 문화, 사회, 이해, 한국어, 모국어, 외국인, 학생, 한국, 대학생활, 적응, 다양, 도움, 추측, 예상, 대조, 이유, 사람, 인용, 결심, 의도, 사동, 피동, 표현, 일상, 생활, 학교, 강의실, 활동, 유용, 표현, 고급, 단어, 문법, 요소, 소개, 숙지, 언어, 생활, 한국, 문화, 상대, 방식, 적용, 이상, 학칙, 학점, 간주]"
"20060","[사전, 방식, 원격수업, 진행, 기계, 비평, 인문학, 공학, 철학, 미디어아트, 결합, 실험, 인문학, 생각, 기계, 비평, 방송, 연사, 이영준, 연사, 김승범, 내용, 강좌, 버스, 기차, 화물선, 사진기, 라디오, 복사기, 인터넷, 항공모함, 미사일, 기계, 분석, 기계, 전문, 비평, 경험, 특별, 강사, 기계, 비평, 개념, 이해, 훈련, 예비, 코스, 미디어이론, 기술공학, 디자인, 디자인, 현상학개론, 철학, 책임, 강사, 취지, 우리, 기계, 기계, 기계, 단순, 도구, 인간, 신체, 육박, 인공, 보철물, 작동, 인간, 의식, 인성, 근본, 차원, 여기, 기계, 기계, 선험, 성립, 의미, 기계, 고찰, 비판, 작업, 공간, 성찰, 작업, 동안, 기계, 가치, 검토, 방향, 오류, 효용, 점검, 비판, 기계, 변경, 우리, 실제, 의식, 성찰, 훈련, 기계, 위험, 수반, 연필, 프레스, 손가락, 절단, 사고, 기계, 잠재, 기계, 물질, 덩어리, 기계, 지식, 덩어리, 지식, 가지, 정도, 첫째, 기계, 역사, 지식, 기계, 역사, 맥락, 둘째, 물건, 기계, 자체, 공학, 지식, 기계, 기술사, 셋째, 경험, 지식, 기계, 경험, 기계, 애초, 설계, 가치, 탈구, 가치, 기능, 기계, 문화사, 지식, 성립, 기계, 비평, 특정, 기계, 역사, 기계, 공학, 지식, 경유, 기계, 인류, 선사, 경험, 인류, 기계, 부여, 기생, 기능, 고찰, 운영, 방식, 옴니버스, 특강, 기계, 비평, 저서, 전시, 경험, 강사, 섭외, 강좌, 버스, 기차, 자동차, 화물선, 사진기, 라디오, 복사기, 인터넷, 항공모함, 미사일, 기계, 분석, 책임, 교수, 기말, 도합, 특별, 강사, 책임, 교수, 참관, 특강, 전체, 커리큘럼, 기강, 유지, 방식, 시간, 학생, 특강, 강사, 리뷰, 페이퍼, 기말, 상대, 방식]"
"20061","[과정, 창업, 교육, 센터, 창업, 글로벌, 영역, 해외, 마케팅, 수출, 해외, 기업, 해외, 자회사, 설립, 해외, 진출, 기업, 니즈, 충족, 저인, 해외, 시장, 조사, 이론, 실무, 학생, 해외, 감각, 국내, 한정, 창업, 기대, 글로벌, 환경, 경쟁, 기업, 최초, 행위, 시장, 조사, 의미, 방법, 수집, 자료, 정보, 의사, 결정, 활용, 기초, 분석, 방법, 통계학, 공부, 시장, 조사, 중요, 기업, 활동, 인식]"
"20062","[창업, 창업, 활동, 주체, 준비, 창업, 과정, 주도, 역할, 시장, 정보, 산업, 현장, 경험, 부족, 대학생, 창업, 지망자, 자신, 주변, 경험, 아이디어, 중심, 비즈니스모델, 철저, 사업, 계획, 창업, 준비, 방법, 하나, 창업, 프로젝트, 창업, 관심, 일반, 학생, 자신, 경험, 지식, 바탕, 자기, 주변, 아이디어, 발굴, 아이디어, 창업아이템, 발전, 사업, 과정, 프로젝트, 실행, 주변, 사람, 문제, 불편, 해결, 솔루션, 아이디어, 고안, 아이디어, 바탕, 솔루션, 실현, 수익, 창출, 프로젝트, 진행, 식음료, 기성품, 판매, 프로젝트, 아이템, 제외, 프로젝트, 자신, 구성원, 능력, 동안, 수준, 범위, 아이템, 선정, 제한, 예산, 기간, 진행, 구성, 인원, 하로, 구성, 혼자, 진행, 가능, 제한, 조건, 아이디어, 수익, 실현, 프로젝트, 실행, 변화, 고객, 시장, 이해, 시장, 솔루션, 창업, 능력, 함양, 아이디어, 연관, 문제, 정의, 솔루션, 실현, 고객, 발굴, 사업, 실행, 계획, 수립, 실행, 보완, 단계, 과정, 진행, 수강, 학생, 효과, 프로젝트, 과정, 소요, 비용, 기준, 범위, 실비, 지원, 방식, 실시간, 진행, 노트북, 카메라, 실시간, 화상, 학생, 수강, 신청, 권장, 창업, 프로젝트, 실시간, 영상, 진행, 실시간, 영상, 가능, 팀원, 대면, 해당, 프로젝트, 실행, 창업, 능력, 함양, 시장, 고객, 수요, 기반, 창업아이디어, 문제, 정의, 솔루션, 실현, 고객, 개발, 수익, 창출, 프로세스, 이해]"
"20063","[고학년, 중심, 맞춤, 취업, 실전, 연습, 준비, 사회, 진출, 학생, 진출, 업종, 지원, 기업, 선택, 입사, 지원, 취업, 준비, 과정, 산업, 기업, 현장, 이해, 분석, 능력, 중요, 비중, 산업, 동향, 기업, 분석, 기반, 고학년, 학생, 취업, 경쟁력, 향상, 지원, 수강, 학생, 요구, 필요, 내용, 고학년, 학생, 산업, 최신, 동향, 이해, 기업, 활동, 분석, 능력, 신장, 진출, 기업, 선택, 입사, 준비, 경쟁력, 향상, 목적, 사례, 분석, 이론, 중심, 취업, 대비, 실전, 중심, 진행, 진로설정, 입사, 준비, 과정, 활용]"
"20064","[창업, 마인드, 함양, 창업, 사례, 창업, 필요, 지식, 기초, 정보, 전달, 현장, 중심, 실전, 정보, 교육, 미래, 예비, 소양, 비즈니스, 시작, 마음가짐, 인간, 관계, 구축, 사업, 기회, 발견, 사업, 모델링, 사업, 분석, 사업, 계획, 시뮬레이션, 사항, 성공, 기업, 벤치마킹, 요소, 습득, 강좌, 창업, 관심, 학생, 창업아이디어, 학생, 대상, 지식, 전달, 현장, 중심, 경험, 실전, 교육, 내용, 전달, 미래, 예비, 소양, 태도, 역량, 내용, 습득, 국내, 대표, 경영, 혁신, 기업, 성장, 과정, 미래, 기업가, 성취동기, 부여, 동영상, 강좌, 진행, 초청, 강사, 사정, 강연, 일자, 강연, 내용, 변경]"
"20065","[기업, 현실, 유사, 가상, 기업, 경영, 경영자, 역할, 자연, 경영, 흐름, 이해, 경영, 성과, 창출, 경영, 의사, 결정, 능력, 향상, 체험, 기반, 문제, 해결, 경영, 시뮬레이션, 교육, 기업, 경영, 어려움, 체험, 미래, 경영인, 경영, 능력, 향상]"
"20066","[강좌, 고전, 자기계발, 융합, 수강, 사회생활, 실체, 도움, 강좌, 전반부, 고전, 독서, 활용, 스토리텔링, 스토리텔링, 홍보, 고전, 경영, 중점, 후반부, 고전, 독서, 자기, 브랜드, 지식, 편집, 효과, 커뮤니케이션, 방법론, 강좌, 수강, 학생, 분야, 고전, 스토리텔링, 효과, 자기, 브랜드, 향후, 사회, 성취, 자신감, 수강, 고전, 해석, 현대인, 상상력, 부합, 해설, 과정, 경험, 과정, 학생, 문화, 상호, 교류, 소통, 역량, 내용, 분석, 역량, 미래, 주도, 기획, 역량, 진행, 고전, 독서, 활용, 효과, 퍼스널, 랜딩, 방법론, 혁명, 시대, 암기력, 창의력, 무엇, 십중팔구, 창의력, 사실, 창의력, 발휘, 조선, 시대, 작가, 사극, 드라마, 가능, 전문학, 인간, 존재, 보편, 양상, 집대성, 고전, 독서, 효과, 퍼스널, 랜딩, 방법, 도출, 가능, 적극, 모색]"
"20067","[사전, 방식, 원격수업, 진행, 강좌, 학생, 독서, 능력, 신장, 적극, 독서, 행위, 흥미, 목적, 독서, 인간, 자신, 설정, 실현, 과정, 중요, 길잡이, 역할, 동시, 저자, 대화, 지혜, 강좌, 한양대, 선정, 도서, 예술, 서적, 중심, 한양대, 학교, 슬로건, 한양, 장도, 목록, 선정, 독서, 문화, 창달, 기존, 명저, 목록, 비판, 시각, 현실, 고려, 세계, 인간, 중심, 시간, 공간, 인간, 문화, 예술, 영역, 분류, 주제, 시간, 역사, 과학, 영역, 변천사, 과거, 현재, 문제, 공간, 사회, 인류학, 세계, 법칙, 인간, 심리학, 철학, 영역, 의학, 생물학, 영역, 문화, 인류, 생활, 문화, 영역, 대중, 문화, 현대, 문화, 예술, 문학, 작품, 음악, 미술, 연극, 영화, 영역, 주제, 강좌, 구성, 특강, 진행, 운영, 진행, 학생, 해당, 주제, 고전, 현대, 작품, 소개, 소감문, 그룹, 독서, 세미나, 활동, 지원, 향후, 심화, 개발, 학내, 독서, 문화, 조성, 발판, 마련, 기대, 강좌, 목적, 독서, 효과, 방법, 활용, 활동, 병행, 독서, 일종, 저자, 대화, 독서, 간접, 경험, 인식, 지평]"
"20068","[사회, 거리, 두기, 지속, 대면, 결정, 스마트, 시대, 위주, 소통, 형식, 연습, 실험, 오프라인, 형식, 목소리, 음색, 구성, 일련, 성부, 집합, 보이스, 결합, 강좌, 보컬, 기술, 훈련, 가요, 가곡, 뮤지컬, 다양, 장르, 음악, 공연, 발표, 실연, 사회, 거리, 두기, 지속, 대면, 결정, 본인, 보이스, 음역, 목소리, 방향, 발견, 보컬, 기술, 예술, 문화, 밀도, 앙상블, 훈련, 본인, 음악, 훈련, 선행, 음악]"
"20069","[과정, 학생, 성공, 대학생활, 인생, 비전, 정립, 비전, 구체, 청사진, 자신, 가치, 기반, 진로, 이해, 사회, 진출, 방향, 성공, 성장, 대학생활, 필요, 필수, 역량, 과정, 4차산업혁명, 지식, 사회, 산업, 현장, 요구, 필수, 역량, 습득, 실제, 생활, 효과, 적용, 진행, 호전, 전환, 녹화강의, 대학생활, 인생설계, 기초, 가치, 진로탐색, 사회, 진출, 기초, 소양, 습득, 셀프, 리더십, 발휘, 지식, 관점, 자신, 가치관, 사회, 진출, 외부, 환경, 맞춤식, 자신, 적성, 소질, 관심, 필수, 역량, 강화, 긍정, 적극, 사고, 글로벌, 융합, 재로, 변화]"
"20070","[인류, 고대, 지금, 문화, 문명, 형성, 문화, 문명, 지역, 특성, 독자, 발전, 한편, 문화, 문명, 영향, 발전, 강좌, 동양, 서양, 문화, 문명, 영향, 지역, 문화, 문명, 관계, 교류, 양상, 역사, 21세기, 인류, 문화, 문명, 방향, 생각, 기회, 문화, 문명, 교류, 인류, 역사, 발전, 기여, 파악, 문화, 문명, 교류, 중요, 인식, 문화, 문명, 당대, 구성원, 산물, 문화, 문명, 교류, 형성, 이해, 지역, 다양, 문화, 문명, 존중, 주체, 수용, 정립, 바탕, 21세기, 인류, 문명, 방향, 생각, 임의, 설정, 학교, 행정, 진행, 대면, 진행, 항목, 과제, 대체, 비율, 동일]"
"20071","[사랑, 역사, 구성, 구성, 인간, 관계, 사회, 제도, 자리, 사랑, 감정, 영역, 동시, 사회, 일상, 문화, 이데올로기, 가늠, 생산, 역동, 키워드, 자리매김, 의미, 사랑, 탐구, 주체, 타자, 사회, 관계, 방식, 사회, 조건, 아래, 인간, 스스로, 구성, 성찰, 강좌, 문학, 매개, 사랑, 철학, 사회학, 인문학, 접근, 바탕, 사랑, 현상, 관점, 탐색, 그리스, 시대, 중세, 시대, 낭만주의, 시대, 현대, 사랑, 본질, 특수, 경험, 사회, 역사, 맥락, 의미, 이론, 실습, 이론, 진행, 토론, 진행, 강, 이론, 단계, 이론, 토론, 기말, 대면, 진행, 단계, 이론, 토론, 진행, 그리스, 현대, 사랑, 역사, 탐구, 시대, 변화, 사랑, 형식, 이해, 철학, 문학, 사회학, 인문, 사회학, 관점, 사랑, 역사, 탐구, 단계, 이론, 토론, 기말, 대면, 진행, 단계, 이론, 토론, 진행, 기말, 중간고사, 리포트, 대체]"
"20072","[강좌, 학생, 오프라인, 수준, 모의, 모의, 결과, 오답, 결과, 취약, 부분, 강화, 취약, 레벨, 동영상, 실질, 향상, 강좌, 체계, 진단, 수준, 취약, 부분, 집중, 실전, 대비, 궁극, 전반, 영어구사, 능력, 향상, 첨가, 계획서, 참조]"
"20073","[원격수업, 방법, 녹화강의]"
"20074","[]"
"20075","[]"
"20076","[학생, 실력, 반편, 초급, 중급, 고급, 진행, 수준, 학생, 영어, 커뮤니케이션, 영어, 기초, 실력, 바탕, 고급, 영어, 구사, 체계, 활동, 단어, 표현, 발음, 문법, 학생, 시간, 주제, 토론, 작문, 활동, 학생, 영어, 의사소통, 영어, 표현, 도움]"
"20077","[학생, 실력, 반편, 초급, 중급, 고급, 진행, 수준, 학생, 영어, 커뮤니케이션, 영어, 기초, 실력, 바탕, 고급, 영어, 구사, 체계, 활동, 단어, 표현, 발음, 문법, 학생, 시간, 주제, 토론, 작문, 활동, 학생, 영어, 의사소통, 영어, 표현, 도움]"
"20078","[학생, 실력, 반편, 초급, 중급, 고급, 진행, 수준, 학생, 영어, 커뮤니케이션, 영어, 기초, 실력, 바탕, 고급, 영어, 구사, 체계, 활동, 단어, 표현, 발음, 문법, 학생, 시간, 주제, 토론, 작문, 활동, 학생, 영어, 의사소통, 영어, 표현, 도움]"
"20088","[스페인어, 공용어, 세계25개국, 이상, 인구, 주요, 언어, 최근, 한국, 중남미, 국가, 사이, 교역, 증가, 스페인어, 중요, 미국, 히스패닉, 인구, 천만, 흑인, 인구, 부동, 외국어, 세계, 흐름, 스페인어, 영향력, 중요, 문화, 정치, 경제, 스페인어, 처음, 스페인어, 수강, 스페인어, 기초, 문법, 기초, 회화, 지속, 자신감, 생활, 회화, 중점, 과정, 영상, 자료, 스페인어, 노래, 스페인어, 문화, 체험, 이해, 기회, 스페인어, 동기, 부여, 무엇, 수강, 언어, 문화, 시간, 쓰기, 듣기, 읽기, 영역, 집중, 스페인어, 회화, 실력, 향상, 스페인어, 국가, 실제, 표현, 대화법, 스페인, 중남미, 국가, 이해, 생활, 기초, 회화, 스페인어, 지역, 전반, 이해, 실시간, 화상강의, 스페인어, 처음, 공부, 학생, 수강, 해당, 수강, 제한, 스페인어, 모국어, 국가, 이상, 거주, 학생, 외국어, 고등학교, 스페인어, 학생, 스페인어, 어학, 자격증, 보유, 학생, 교육, 기관, 초급, 수준, 스페인어, 실력, 학생, 수강, 대상자, 진단서, 인정]"
"20089","[강좌, 고급, 단계, 영어, 회화, 중심, 과정, 분야, 커뮤니케이션, 프로젝트, 토론, 학생, 커뮤니케이션, 능력, 증진, 궁극, 정보, 시대, 적극, 언어, 능력, 함양, 원격수업, 원격수업, 녹화강의, 진행, 원격수업, 방법]"
"20090","[세기, 후반, 20세기, 후반, 세기, 동안, 시기, 국사, 내재, 발전, 코스, 제국주의, 침략, 식민지, 지배, 체제, 분단, 굴절, 왜곡, 굴절, 곡하, 주체, 발전, 코스, 관철, 정치, 경제, 사회, 운동, 종합, 체계, 이해, 오늘날, 역사, 인식, 학교, 규정, 진행, 세기말, 20세기, 한국, 전근대, 사회, 체제, 모순, 세계, 자본주의, 열강, 침입, 모순, 극복, 근대, 국민, 국가, 수립, 과제, 한국, 근대, 민족, 국가, 수립, 식민지, 전락, 한국, 근대, 중세, 모순, 극복, 외세, 지배, 결합, 진행, 식민, 지기, 한국, 역사, 전근대, 모순, 극복, 일본, 식민지, 해방, 목적, 실현, 과정, 과정, 한국, 일본, 패망, 해방, 이때, 해방, 한국, 자력, 성취, 한반도, 구분, 소련, 이남, 미군, 주둔, 한국, 현대사, 개입, 정치, 세력, 갈등, 시작, 한국, 정치, 세력, 소련, 미국, 다자, 구도, 해방, 한국, 사회, 격동, 시기, 시기, 현재, 한국, 사회, 원형, 정착, 월, 대한민국, 정부, 수립, 이후, 한국, 경제, 발전, 민주주의, 실현, 분단, 문제, 극복, 통일, 과제, 해결, 과정, 과제, 지금, 진행, 강좌, 개항, 대, 한국, 사회, 역동, 전개, 과정, 변화, 연속선, 한국, 모습, 재고, 기회, 임의, 설정, 학교, 행정, 진행, 대면, 진행, 항목, 과제, 대체, 비율, 동일]"
"20091","[문화, 디자인, 상호, 작용, 변화, 발전, 우리, 문화, 중요, 대두, 시대, 디자인, 분야, 중요, 역활, 디자이너, 감성, 사고, 사회, 문화, 역할, 인지, 대처, 소양, 요구, 우리, 디자인, 디자인, 생각, 디자인, 개념, 고찰, 시대, 디자인, 시대, 문화, 맥락, 해석, 탐구, 디자인, 역할, 영역, 지속, 확대, 디자이너, 역량, 중요, 판단, 요소, 문화, 디자인, 밀접, 관계, 사례연구, 연구, 디자인, 시대, 현상, 문화, 해석, 이해, 분석, 문화, 디자인, 원격수업, 녹화강의, 병행]"
"20093","[미분적분학, 고등학교, 과정, 미적분, 내용, 정리, 미적분, 내용, 초월함수, 미적분, 훈련, 제공, 미분적분학, 수강, 필요, 미적분학, 공부, 대수함수, 초월함수, 미분, 적분, 공부, 응용]"
"20094","[물리학, 학과, 학생, 기초, 물리, 역학, 고전, 역학, 예정, 물리학, 학과, 학생, 기초, 물리, 역학, 고전, 역학, 예정]"
"20095","[사회, 진출, 학생, 직장, 실질, 컴퓨터, 활용, 능력, 필수, 재정, 회계, 업무, 필수, 스프, 레트, 시트, 작성, 필요, 고급, 기법, 습득, 컴퓨터, 활용, 훈련, 학생, 실질, 컴퓨터, 이용, 활용, 연습, 경쟁력, 상태, 사회, 진출, 도움, 수치, 데이터, 효과, 수식, 작성, 데이터, 분석, 추출, 차트, 작성, 기법, 연습, 실습, 중심, 진행, 교재, 실습, 과제, 학생, 실습, 자료, 파일, 하루, 이틀, 사이트, 학생, 예습, 유도, 참고, 진행, 학생, 소통, 동안, 단톡방, 운영, 사항, 해결]"
"20096","[사회, 진출, 학생, 직장, 실질, 컴퓨터, 활용, 능력, 필수, 재정, 회계, 업무, 필수, 스프, 레트, 시트, 작성, 필요, 고급, 기법, 습득, 컴퓨터, 활용, 훈련, 학생, 실질, 컴퓨터, 이용, 활용, 연습, 경쟁력, 상태, 사회, 진출, 도움, 수치, 데이터, 효과, 수식, 작성, 데이터, 분석, 추출, 차트, 작성, 기법, 연습, 실습, 중심, 진행, 교재, 실습, 과제, 학생, 실습, 자료, 파일, 하루, 이틀, 사이트, 학생, 예습, 유도, 참고, 진행, 학생, 소통, 동안, 단톡방, 운영, 사항, 해결]"
"20097","[색상, 이미지, 병합, 편집, 필요, 그래픽, 작업, 화본, 수정, 사진, 원본, 합성, 합성, 사진, 그래픽, 작업, 디지털, 이미지, 작업, 작업, 포토샵, 프로그램, 이용, 포토샵, 프로그램, 미술, 제작, 도구, 작업, 흥미, 예제, 활용, 학생, 연구, 응용, 시간, 이론, 기반, 그래픽, 과정, 과학, 원리, 설명, 실습, 수강, 작업, 진행, 그래픽, 지식, 습득, 이론, 그것, 바탕, 응용, 실습, 조화, 컴퓨터, 그래픽, 응용, 실기, 기말, 필기, 고사, 대면시험, 실시, 진행, 공정, 마지막, 기말, 필기, 고사, 대면, 실시, 진행, 신중, 수강신청, 이번, 어도, 비사, 프로그램, 무료, 제공, 지원, 포토샵, 프로그램, 소유, 동안, 유료, 결재, 가능, 학생, 신청, 부탁]"
"20098","[색상, 이미지, 병합, 편집, 필요, 그래픽, 작업, 화본, 수정, 사진, 원본, 합성, 합성, 사진, 그래픽, 작업, 디지털, 이미지, 작업, 작업, 포토샵, 프로그램, 이용, 포토샵, 프로그램, 미술, 제작, 도구, 작업, 흥미, 예제, 활용, 학생, 연구, 응용, 시간, 이론, 기반, 그래픽, 과정, 과학, 원리, 설명, 실습, 수강, 작업, 진행, 그래픽, 지식, 습득, 이론, 그것, 바탕, 응용, 실습, 조화, 컴퓨터, 그래픽, 응용, 실기, 기말, 필기, 고사, 대면시험, 실시, 진행, 공정, 마지막, 기말, 필기, 고사, 대면, 실시, 진행, 신중, 수강신청, 이번, 어도, 비사, 프로그램, 무료, 제공, 지원, 포토샵, 프로그램, 소유, 동안, 유료, 결재, 가능, 학생, 신청, 부탁]"
"20100","[영어, 영어, 전용, 강좌, 최근, 국내, 국외, 사회, 문제, 연예, 오락, 산업, 세계, 정세, 산업, 과학, 건강, 의료, 진보, 신문, 잡지, 방송, 유튜브, 기사, 보도, 활용, 주요, 문제, 현안, 이해, 문제, 본질, 정확, 이해, 목적, 병행, 실시간, 화상, 구성, 관점, 문제, 해석, 실효, 대안, 제시, 비판, 사고력, 병행, 실시간, 병행, 실시]"
"20101","[강좌, 우리, 나라, 기업, 현장, 최고, 경영자, 현장, 경험, 경영, 노우하우, 체득, 강좌, 강사진, 구성, 경영, 이야기, 경영, 인생, 지혜, 진행, 예정, 이상, 미만, 보고서, 보고서, 인상, 선정, 요약, 선정, 이유, 표지, 지포, 점수]"
"20102","[]"
"20103","[사전, 방식, 원격수업, 진행, 과학, 기술, 철학, 해석, 개입, 기술, 사회, 시민, 교육, 지향, 과학, 과학, 기술, 인간, 역사, 영향, 공부, 오늘날, 기술, 고찰, 인간, 고찰, 필요, 철학, 사고, 기술, 문화, 이해, 상상, 주제, 과학, 기술, 철학, 이론가, 방식, 내재, 릴리, 베르, 몽동, 마샬, 매클루언, 멈퍼드, 웨이, 기술, 인간, 의미, 공부, 자연, 인위, 이분법, 기계, 하나, 자연]"
